Nom de l'établissement,P-code de l'établissement,Nom de la sous-préfecture,P-code de la sous-préfecture,Nom de la préfecture,P-code de la préfecture,Nom de la région,P-code de la région,Public ou privé?,Latitude,Longitude
Gaah,,Nzoo,GIN00800308,Lola,GIN008003,Nzerekore,GIN008,public,,
Gabriel SULTAN,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Gadha Bhoundouwol,,Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007,public,,
Gadha Woundou Centre de Santé,,Gadha Woundou,GIN00600102,Koubia,GIN006001,Labe,GIN006,public,,
Galakpaye,,Bignamou,GIN00800603,Yomou,GIN008006,Nzerekore,GIN008,public,,
Galaye,,Pela,GIN00800606,Yomou,GIN008006,Nzerekore,GIN008,public,,
Gally,,Mombeyah,GIN00700110,Dalaba,GIN007001,Mamou,GIN007,public,,
Gama - Bèréma,,Gama Berema,GIN00800303,Lola,GIN008003,Nzerekore,GIN008,public,,
Gama Koni Koni,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Gama Yalé,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Gangan,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Garambé Centre de Santé,,Garambe,GIN00600205,Labe,GIN006002,Labe,GIN006,public,,
Gayah,,Gayah,GIN00600405,Mali,GIN006004,Labe,GIN006,public,,
Gbah,,Bossou,GIN00800301,Lola,GIN008003,Nzerekore,GIN008,public,,
Gbakédou Centre,,Gbakedou,GIN00800106,Beyla,GIN008001,Nzerekore,GIN008,public,,
Gbakoré 1,,Nzoo,GIN00800308,Lola,GIN008003,Nzerekore,GIN008,public,,
Gbamou,,Bignamou,GIN00800603,Yomou,GIN008006,Nzerekore,GIN008,public,,
Gbana,,Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Gbangadou,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Gbangbadou Centre de Santé,,Bardou,GIN00300403,Kissidougou,GIN003004,Faranah,GIN003,public,,
Gbangbadou Ouéndé,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Gbaran,,Yende Millimou,GIN00300412,Kissidougou,GIN003004,Faranah,GIN003,public,,
Gbassaya Centre,,Tamita,GIN00100107,Boffa,GIN001001,Boke,GIN001,public,,
Gbèkè,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Gbenkorokoro,,Norassoba,GIN00400510,Siguiri,GIN004005,Kankan,GIN004,public,,
Gbenso,,Bate Nafadji,GIN00400102,Kankan,GIN004001,Kankan,GIN004,public,,
Gberedou-Baranama Centre de Santé,,Gberedou Baranama,GIN00400104,Kankan,GIN004001,Kankan,GIN004,public,,
Gbessia Port,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Gbinkily,,Mambia,GIN00500407,Kindia,GIN005004,Kindia,GIN005,public,,
Gbouo,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Ghada Yhandhè,,Konah,GIN00600507,Tougue,GIN006005,Labe,GIN006,public,,
Gl Lansana Conté,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Gnalakpalé,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Gnalen,,Arfamoussayah,GIN00300101,Dabola,GIN003001,Faranah,GIN003,public,,
Gnamandou,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Gnampara,,Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Gnangantou,,Diontou,GIN00600302,Lelouma,GIN006003,Labe,GIN006,public,,
"Gnema-Nord (Nema, Nyema)",,Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Gnema-Sud-Centre,,Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Gognakaly,,Gagnakaly,GIN00300205,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Gogota,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Gôh,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Gongoret,,Gongoret,GIN00700203,Mamou,GIN007002,Mamou,GIN007,public,,
Gonkou,,Brouwal Tape,GIN00700302,Pita,GIN007003,Mamou,GIN007,public,,
Gonota,,Gueasso,GIN00800304,Lola,GIN008003,Nzerekore,GIN008,public,,
Gopouta,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Gottoye,,Banie,GIN00800601,Yomou,GIN008006,Nzerekore,GIN008,public,,
Gougoudjé,,Gougoudje,GIN00500503,Telimele,GIN005005,Kindia,GIN005,public,,
Guéasso,,Gueasso,GIN00800304,Lola,GIN008003,Nzerekore,GIN008,public,,
Guélémata,,Gama Berema,GIN00800303,Lola,GIN008003,Nzerekore,GIN008,public,,
Guilaotazou,,Niagassola,GIN00400508,Siguiri,GIN004005,Kankan,GIN004,public,,
Guinee Forestiere,,Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Guingan,,Guinguan,GIN00100401,Koundara,GIN001004,Boke,GIN001,public,,
Hafia minière FMG,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Hamdallaye,,Sannou,GIN00600212,Labe,GIN006002,Labe,GIN006,public,,
Hamdallaye,,Tanene,GIN00100210,Boke,GIN001002,Boke,GIN001,public,,
Hamdallaye Centre,,Koba,GIN00700107,Dalaba,GIN007001,Mamou,GIN007,public,,
Hansaghèrè ((en chantier)),,Hafia,GIN00600206,Labe,GIN006002,Labe,GIN006,public,,
Hariana Silingbin,,Mambia,GIN00500407,Kindia,GIN005004,Kindia,GIN005,public,,
Hatayauia Centre,,Banora,GIN00300201,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Henriette CONTE,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,prive,,
Hérémakono (Mandiana) Centre de Santé,,Mandiana Ctre,GIN00400408,Mandiana,GIN004004,Kankan,GIN004,public,,
Hérémakono Sinko,,Sinko,GIN00800114,Beyla,GIN008001,Nzerekore,GIN008,public,,
Hérémakonon,,Heremakono,GIN00300305,Faranah,GIN003003,Faranah,GIN003,public,,
Hèrèmakonon,,Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004,public,,
Hérico,,Kollet,GIN00500505,Telimele,GIN005005,Kindia,GIN005,public,,
Hérico,,Koubia Ctre,GIN00600103,Koubia,GIN006001,Labe,GIN006,public,,
Himdya,,Hidayatou,GIN00600406,Mali,GIN006004,Labe,GIN006,public,,
HOPITAL AISSA,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Hôpital C B G,,Sangaredi,GIN00100208,Boke,GIN001002,Boke,GIN001,prive,,
Hôpital Compagnie Bauxite Guinee (CBG),,Sangaredi,GIN00100208,Boke,GIN001002,Boke,GIN001,public,,
Hôpital de Kissidougou,,Kissidougou Ctre,GIN00300408,Kissidougou,GIN003004,Faranah,GIN003,public,,
Hôpital de l'Amitié Sino-Guinéenne,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Hôpital Lafou,,Lafou,GIN00600305,Lelouma,GIN006003,Labe,GIN006,public,,
Hôpital Mimé,,Faranah Ctre,GIN00300303,Faranah,GIN003003,Faranah,GIN003,public,,
Hôpital National Donka,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Hôpital National Ignace Deen,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Hôpital Péchiney,,Fria Ctre,GIN00100503,Fria,GIN001005,Boke,GIN001,public,,
Hopital préfectoral  Fria,,Fria Ctre,GIN00100503,Fria,GIN001005,Boke,GIN001,public,,
Hopital Préfectoral Beyla,,Beyla Ctre,GIN00800101,Beyla,GIN008001,Nzerekore,GIN008,public,,
Hopital Préfectoral Boffa,,Boffa Ctre,GIN00100101,Boffa,GIN001001,Boke,GIN001,public,,
Hopital Préfectoral Coyah,,Coyah Ctre,GIN00500101,Coyah,GIN005001,Kindia,GIN005,public,,
Hôpital Préfectoral Dabola,,Dabola Ctre,GIN00300104,Dabola,GIN003001,Faranah,GIN003,public,,
Hopital Prefectoral Dalaba,,Dalaba Ctre,GIN00700102,Dalaba,GIN007001,Mamou,GIN007,public,,
Hôpital Prefectoral de Mamou,,Mamou Ctre,GIN00700206,Mamou,GIN007002,Mamou,GIN007,public,,
Hopital Préfectoral Dinguiraye,,Dinguiraye Ctre,GIN00300204,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Hôpital Préfectoral Dubreka Centre,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Hôpital Préfectoral Forécariah Centre,,Forecariah Ctre,GIN00500304,Forecariah,GIN005003,Kindia,GIN005,public,,
Hôpital Préfectoral Gaoual,,Gaoual Ctre,GIN00100302,Gaoual,GIN001003,Boke,GIN001,public,,
Hopital Préfectoral Gueckedou,,Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Hopital Préfectoral Kerouane,,Kerouane Ctre,GIN00400203,Kerouane,GIN004002,Kankan,GIN004,public,,
Hopital Prefectoral Kindia,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Hopital Préfectoral Kissidougo,,Faranah Ctre,GIN00300303,Faranah,GIN003003,Faranah,GIN003,public,,
Hôpital Préfectoral Koubia Centre,,Koubia Ctre,GIN00600103,Koubia,GIN006001,Labe,GIN006,public,,
Hopital Préfectoral Koundara,,Boke Ctre,GIN00100202,Boke,GIN001002,Boke,GIN001,public,,
Hopital Préfectoral Kouroussa,,Kouroussa Ctre,GIN00400311,Kouroussa,GIN004003,Kankan,GIN004,public,,
Hopital Préfectoral Lélouma,,Lelouma Ctre,GIN00600306,Lelouma,GIN006003,Labe,GIN006,public,,
Hopital préfectoral Lola,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Hopital Préfectoral Lola,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Hopital Préfectoral Macenta,,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Hopital Préfectoral Mali,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,public,,
Hopital Préfectoral Mandiana,,Mandiana Ctre,GIN00400408,Mandiana,GIN004004,Kankan,GIN004,public,,
Hopital Préfectoral Pita,,Mamou Ctre,GIN00700206,Mamou,GIN007002,Mamou,GIN007,public,,
Hopital Préfectoral Siguiri,,Siguiri Ctre,GIN00400511,Siguiri,GIN004005,Kankan,GIN004,public,,
Hopital Préfectoral Telimele,,Telemele Ctre,GIN00500513,Telimele,GIN005005,Kindia,GIN005,public,,
Hopital Préfectoral Tougue,,Tougue Ctre,GIN00600510,Tougue,GIN006005,Labe,GIN006,public,,
Hopital Préfectoral Yomou,,Yomou Ctre,GIN00800607,Yomou,GIN008006,Nzerekore,GIN008,public,,
Hôpital Regional Alpha Oumar Diallo,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Hopital Régional Boke,,Boke Ctre,GIN00100202,Boke,GIN001002,Boke,GIN001,public,,
Hopital Régional Faranah,,Faranah Ctre,GIN00300303,Faranah,GIN003003,Faranah,GIN003,public,,
Hopital Regional Kankan,,Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004,public,,
Hôpital Régional Kindia Centre,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Hopital Régional Labe,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,public,,
Hopital Régional Mamou,,Mamou Ctre,GIN00700206,Mamou,GIN007002,Mamou,GIN007,public,,
Hopital Regional N'Zerekore,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Hopital Régional N'zérékoré,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Horé Fello,,Diontou,GIN00600302,Lelouma,GIN006003,Labe,GIN006,public,,
Horé Fello,,Mali Ctre,GIN00600409,Mali,GIN006004,Labe,GIN006,public,,
Horè Hollandè,,Tianguel Bori,GIN00600311,Lelouma,GIN006003,Labe,GIN006,public,,
Horè Kollet,,Kouratongo,GIN00600508,Tougue,GIN006005,Labe,GIN006,public,,
Horè Oury,,Timbi Touni,GIN00700312,Pita,GIN007003,Mamou,GIN007,public,,
Horé-Bendia,,Wendou Mbour,GIN00100308,Gaoual,GIN001003,Boke,GIN001,public,,
Hospital Jean Paul II,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Hôtel Mariador,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Hôtel Mariador,,Sougueta,GIN00500410,Kindia,GIN005004,Kindia,GIN005,prive,,
Infirmerie centrale de la police,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Jacqueline SULTAN,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Jacques FAWLA,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Jacques SULTAN,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Jamal THERMOS,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Jamal Thermos,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Jean Paul 2,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
k. Maoudé,,Diari,GIN00600203,Labe,GIN006002,Labe,GIN006,public,,
k.Tokossèrè,,Diari,GIN00600203,Labe,GIN006002,Labe,GIN006,public,,
Kabada (Kankan-kabada) Centre de Santé,,Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004,public,,
Kabakoro,,Vasseredou,GIN00800414,Macenta,GIN008004,Nzerekore,GIN008,public,,
Kadignet,,Kanfarande,GIN00100205,Boke,GIN001002,Boke,GIN001,public,,
Kaïlondji-Centre,,Sinta,GIN00500510,Telimele,GIN005005,Kindia,GIN005,public,,
Kakala,,Mankountan,GIN00100106,Boffa,GIN001001,Boke,GIN001,public,,
Kakoutoulaye,,Benty,GIN00500302,Forecariah,GIN005003,Kindia,GIN005,public,,
Kalafilila,,Boula,GIN00400103,Kankan,GIN004001,Kankan,GIN004,public,,
Kalan Centre de Santé,,Kaalan,GIN00600207,Labe,GIN006002,Labe,GIN006,public,,
Kalankalan,,Sabadou Baranama,GIN00400111,Kankan,GIN004001,Kankan,GIN004,public,,
Kalela,,Dabola Ctre,GIN00300104,Dabola,GIN003001,Faranah,GIN003,public,,
Kalia-Centre,,Marella,GIN00300307,Faranah,GIN003003,Faranah,GIN003,public,,
Kalima,,Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004,prive,,
Kalima 2 Kobaya,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Kalonso,,Touba,GIN00600412,Mali,GIN006004,Labe,GIN006,public,,
Kama Centre,,Koundianakoro,GIN00400407,Mandiana,GIN004004,Kankan,GIN004,public,,
Kamaby 2,,Kamabi,GIN00100402,Koundara,GIN001004,Boke,GIN001,public,,
Kamakouloun,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
Kamalayah,,Moussayah,GIN00500309,Forecariah,GIN005003,Kindia,GIN005,public,,
Kamaya,,Franwalia,GIN00400503,Siguiri,GIN004005,Kankan,GIN004,public,,
Kambaco,,Maci,GIN00700306,Pita,GIN007003,Mamou,GIN007,public,,
Kanfarandé,,Kanfarande,GIN00100205,Boke,GIN001002,Boke,GIN001,public,,
Kanifara,,Koundian,GIN00400406,Mandiana,GIN004004,Kankan,GIN004,public,,
Kankako Centre,,Bintimodia,GIN00100201,Boke,GIN001002,Boke,GIN001,public,,
Kankalabé,,Kankalabe,GIN00700105,Dalaba,GIN007001,Mamou,GIN007,public,,
Kankoré,,Bounouma,GIN00800501,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kansangui,,Kansangui,GIN00600503,Tougue,GIN006005,Labe,GIN006,public,,
Kantoumania Centre de Santé,,Kantoumanina,GIN00400404,Mandiana,GIN004004,Kankan,GIN004,public,,
Kaoro,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Kapkin,,Kanfarande,GIN00100205,Boke,GIN001002,Boke,GIN001,public,,
Kaporo,,Samaya,GIN00500409,Kindia,GIN005004,Kindia,GIN005,public,,
Karadou,,Yende Millimou,GIN00300412,Kissidougou,GIN003004,Faranah,GIN003,public,,
Karako,,Douako,GIN00400306,Kouroussa,GIN004003,Kankan,GIN004,public,,
Karana,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Karmafassa,,Kakony,GIN00100303,Gaoual,GIN001003,Boke,GIN001,public,,
Kassanka,,Ouremai,GIN00800410,Macenta,GIN008004,Nzerekore,GIN008,public,,
Kataco,,Bintimodia,GIN00100201,Boke,GIN001002,Boke,GIN001,public,,
Katfoura,,Kanfarande,GIN00100205,Boke,GIN001002,Boke,GIN001,public,,
Katougouma,,Tanene,GIN00100210,Boke,GIN001002,Boke,GIN001,public,,
Kayenguissa,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
Kébaly,,Kebali,GIN00700106,Dalaba,GIN007001,Mamou,GIN007,public,,
Kégnanden,,Tougue Ctre,GIN00600510,Tougue,GIN006005,Labe,GIN006,public,,
Kégnéko,,Kegneko,GIN00700204,Mamou,GIN007002,Mamou,GIN007,public,,
Kèmaya Centre,,Kansangui,GIN00600503,Tougue,GIN006005,Labe,GIN006,public,,
Kènèma-Bomba,,Gbangbadou,GIN00300407,Kissidougou,GIN003004,Faranah,GIN003,public,,
Kènèndé Hôpital,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Kéoulenta,,Kokota,GIN00800305,Lola,GIN008003,Nzerekore,GIN008,public,,
Kéréma,,Bounouma,GIN00800501,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kerezagaye,,Koule,GIN00800505,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kerouane Centre de Santé,,Kerouane Ctre,GIN00400203,Kerouane,GIN004002,Kankan,GIN004,public,,
Kessou,,Kolangui,GIN00600505,Tougue,GIN006005,Labe,GIN006,public,,
Khatia,,Lisso,GIN00100105,Boffa,GIN001001,Boke,GIN001,public,,
Khatia,,Sougueta,GIN00500410,Kindia,GIN005004,Kindia,GIN005,public,,
Khattia,,Bangouya,GIN00500401,Kindia,GIN005004,Kindia,GIN005,public,,
Kiesseneye,,Fangamadou,GIN00800202,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Kiffaya,,Guinguan,GIN00100401,Koundara,GIN001004,Boke,GIN001,public,,
Kigbaly,,Benty,GIN00500302,Forecariah,GIN005003,Kindia,GIN005,public,,
Kignero,,Kankama,GIN00300106,Dabola,GIN003001,Faranah,GIN003,public,,
Kilissi,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Kimeya,,Tanene,GIN00100210,Boke,GIN001002,Boke,GIN001,public,,
Kindoye,,Kindoye,GIN00300107,Dabola,GIN003001,Faranah,GIN003,public,,
Kiniéba,,Missamana,GIN00400109,Kankan,GIN004001,Kankan,GIN004,public,,
Kiniebakoura Centre de Santé,,Kiniebakoura,GIN00400504,Siguiri,GIN004005,Kankan,GIN004,public,,
Kiniènkoura,,Balandougouba,GIN00400401,Mandiana,GIN004004,Kankan,GIN004,public,,
Kintinian Centre de Santé,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Kissi-Hermakono Centre de Santé,,Kissidougou Ctre,GIN00300408,Kissidougou,GIN003004,Faranah,GIN003,public,,
Kissi-Yalankoro,,Gbangbadou,GIN00300407,Kissidougou,GIN003004,Faranah,GIN003,public,,
Kkarifamoriyah,,Mandiana Ctre,GIN00400408,Mandiana,GIN004004,Kankan,GIN004,public,,
Km 82,,Mitty,GIN00700109,Dalaba,GIN007001,Mamou,GIN007,public,,
Koba,,Balandougou,GIN00400101,Kankan,GIN004001,Kankan,GIN004,public,,
Koba,,Kakossa,GIN00500306,Forecariah,GIN005003,Kindia,GIN005,public,,
Kobedara,,Malea,GIN00400506,Siguiri,GIN004005,Kankan,GIN004,public,,
Kobikoro Centre de Santé,,Kobikoro,GIN00300306,Faranah,GIN003003,Faranah,GIN003,public,,
Kodiana,,Boula,GIN00400103,Kankan,GIN004001,Kankan,GIN004,public,,
Kodiaran Centre,,Mandiana Ctre,GIN00400408,Mandiana,GIN004004,Kankan,GIN004,public,,
Kodiaraninda-Centre,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Kognea,,Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Koïma Tongolo,,Seredou,GIN00800413,Macenta,GIN008004,Nzerekore,GIN008,public,,
Koinwel,,Koin,GIN00600504,Tougue,GIN006005,Labe,GIN006,public,,
Koket,,Maferinya,GIN00500308,Forecariah,GIN005003,Kindia,GIN005,public,,
Kokota,,Kokota,GIN00800305,Lola,GIN008003,Nzerekore,GIN008,public,,
Kokoulo,,Daralabe,GIN00600202,Labe,GIN006002,Labe,GIN006,public,,
Kola,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kolaboui,,Kolaboui,GIN00100206,Boke,GIN001002,Boke,GIN001,public,,
Kolakpata,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kolata 1,,Laine,GIN00800306,Lola,GIN008003,Nzerekore,GIN008,public,,
Kolenda,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Kolia - Poste de Santé,,Coyah Ctre,GIN00500101,Coyah,GIN005001,Kindia,GIN005,public,,
Kolia-Sana Mato,,Bintimodia,GIN00100201,Boke,GIN001002,Boke,GIN001,public,,
Kolignindo,,Nongoa,GIN00800207,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Kolissoko,,Poredaka,GIN00700209,Mamou,GIN007002,Mamou,GIN007,public,,
Kolita,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Kollet-Centre,,Kollet,GIN00500505,Telimele,GIN005005,Kindia,GIN005,public,,
Kolomba Fara,,Fangamadou,GIN00800202,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Koly,,Telemele Ctre,GIN00500513,Telimele,GIN005005,Kindia,GIN005,public,,
Komata,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Komodou Centre de Santé,,Komodou,GIN00400204,Kerouane,GIN004002,Kankan,GIN004,public,,
Komora,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Komou,,Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Komou,,Yomou Ctre,GIN00800607,Yomou,GIN008006,Nzerekore,GIN008,public,,
Kompéta,,Koba,GIN00500504,Telimele,GIN005005,Kindia,GIN005,public,,
Konah,,Konah,GIN00600507,Tougue,GIN006005,Labe,GIN006,public,,
Konardo,,Manfran,GIN00300410,Kissidougou,GIN003004,Faranah,GIN003,public,,
Kondéya,,Kansangui,GIN00600503,Tougue,GIN006005,Labe,GIN006,public,,
Kondeyiré,,Kaliah,GIN00500307,Forecariah,GIN005003,Kindia,GIN005,public,,
Kondian,,Bardou,GIN00300403,Kissidougou,GIN003004,Faranah,GIN003,public,,
Kondiankoro 2 Centre de Santé,,Koundianakoro,GIN00400407,Mandiana,GIN004004,Kankan,GIN004,public,,
Kondoya,,Kolente,GIN00500405,Kindia,GIN005004,Kindia,GIN005,public,,
Konian-Aviation,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Konkouré,,Kounkoure,GIN00700205,Mamou,GIN007002,Mamou,GIN007,public,,
Konkouré Centre,,Kollet,GIN00500505,Telimele,GIN005005,Kindia,GIN005,public,,
Konkoye,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,,,
Konso,,Ndema,GIN00300109,Dabola,GIN003001,Faranah,GIN003,public,,
Konstamy,,Konsotami,GIN00500506,Telimele,GIN005005,Kindia,GIN005,public,,
Korbé Centre de Santé,,Korbe,GIN00600304,Lelouma,GIN006003,Labe,GIN006,public,,
Korbouya Centre,,Fatako,GIN00600501,Tougue,GIN006005,Labe,GIN006,public,,
Korédou,,Fermessadou,GIN00300405,Kissidougou,GIN003004,Faranah,GIN003,public,,
Koroh,,Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Koronta,,Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kossa,,Boula,GIN00400103,Kankan,GIN004001,Kankan,GIN004,public,,
Kotozou,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kottèya,,Koba Tatema,GIN00100103,Boffa,GIN001001,Boke,GIN001,,,
Kouakörö,,Termassadou,GIN00800210,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Koubia,,Koubia Ctre,GIN00600103,Koubia,GIN006001,Labe,GIN006,public,,
Kouffin,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
Koule-Sud,,Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Koulia,,Kondiadou,GIN00300409,Kissidougou,GIN003004,Faranah,GIN003,public,,
Koulidara,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,prive,,
Koulidara,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,prive,,
Koumban 2 Centre de Santé,,Koumban,GIN00400107,Kankan,GIN004001,Kankan,GIN004,public,,
Koumbaya,,Douprou,GIN00100102,Boffa,GIN001001,Boke,GIN001,public,,
Koundian 2 Centre de Santé,,Koundian,GIN00400406,Mandiana,GIN004004,Kankan,GIN004,public,,
Koundiéa,,Missira,GIN00600105,Koubia,GIN006001,Labe,GIN006,public,,
Koundou Toh,,Ouende Kenema,GIN00800208,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Kounkouré,,Hidayatou,GIN00600406,Mali,GIN006004,Labe,GIN006,public,,
Kounsankoro Centre de Santé,,Konsankoro,GIN00400205,Kerouane,GIN004002,Kankan,GIN004,public,,
Kouomakoro,,Sansando,GIN00400412,Mandiana,GIN004004,Kankan,GIN004,public,,
Kourako,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Kourakoto,,Daramagnaky,GIN00500502,Telimele,GIN005005,Kindia,GIN005,public,,
Kouramangui Cité Centre de Santé,,Kouramangui,GIN00600208,Labe,GIN006002,Labe,GIN006,public,,
Kouratongo,,Kouratongo,GIN00600508,Tougue,GIN006005,Labe,GIN006,public,,
Kouratou,,Banian,GIN00300301,Faranah,GIN003003,Faranah,GIN003,public,,
Kouremale,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Kourou,,Gongoret,GIN00700203,Mamou,GIN007002,Mamou,GIN007,public,,
Kourou Sériyabhè,,Mafara,GIN00700108,Dalaba,GIN007001,Mamou,GIN007,public,,
Koussi,,Gougoudje,GIN00500503,Telimele,GIN005005,Kindia,GIN005,public,,
Kouyeya,,Sougueta,GIN00500410,Kindia,GIN005004,Kindia,GIN005,public,,
